,Activity,Start,End,Duration,Hour
0,Sleeping,2011-11-28 02:27:59,2011-11-28 10:18:11,470.2,2.45
1,Sleeping,2011-11-29 02:16:00,2011-11-29 11:31:00,555.0,2.2666666666666666
2,Sleeping,2011-11-30 01:22:33,2011-11-30 10:07:31,524.9666666666667,1.3666666666666667
3,Sleeping,2011-12-01 01:37:52,2011-12-01 10:50:45,552.8833333333333,1.6166666666666667
4,Sleeping,2011-12-02 02:15:55,2011-12-02 12:15:19,599.4,2.25
5,Sleeping,2011-12-03 01:47:02,2011-12-03 11:56:20,609.3,1.7833333333333332
6,Sleeping,2011-12-04 03:19:17,2011-12-04 12:37:49,558.5333333333333,3.3166666666666664
7,Sleeping,2011-12-05 01:35:10,2011-12-05 11:48:55,613.75,1.5833333333333335
8,Sleeping,2011-12-06 00:42:37,2011-12-06 10:07:20,564.7166666666667,0.7
9,Sleeping,2011-12-07 00:59:56,2011-12-07 10:45:40,585.7333333333333,0.9833333333333333
10,Sleeping,2011-12-08 01:39:41,2011-12-08 11:14:29,574.8,1.65
11,Sleeping,2011-12-09 01:16:42,2011-12-09 10:49:07,572.4166666666666,1.2666666666666666
12,Sleeping,2011-12-10 00:50:47,2011-12-10 09:26:17,515.5,0.8333333333333334
13,Sleeping,2011-12-11 02:31:15,2011-12-11 11:57:34,566.3166666666667,2.5166666666666666
