,Activity,Start_time,End_time,Duration,Hour
0,Sleeping,2010-12-29 23:45:00,2010-12-30 07:30:00,465,23.75
1,Sleeping,2010-12-30 22:49:00,2010-12-31 06:48:00,479,22.816666666666666
2,Sleeping,2010-12-31 23:53:00,2011-01-01 07:32:00,459,23.883333333333333
3,Sleeping,2011-01-01 22:15:00,2011-01-02 06:47:00,512,22.25
4,Sleeping,2011-01-02 23:45:00,2011-01-03 07:51:00,486,23.75
5,Sleeping,2011-01-03 21:03:00,2011-01-04 05:24:00,501,21.05
6,Sleeping,2011-01-04 22:59:00,2011-01-05 07:26:00,507,22.983333333333334
7,Sleeping,2011-01-05 23:25:00,2011-01-06 07:54:00,509,23.416666666666668
8,Sleeping,2011-01-06 23:57:00,2011-01-07 08:23:00,506,23.95
9,Sleeping,2011-01-07 22:01:00,2011-01-08 06:20:00,499,22.016666666666666
10,Sleeping,2011-01-08 22:44:00,2011-01-09 07:10:00,506,22.733333333333334
11,Sleeping,2011-01-09 23:46:00,2011-01-10 08:25:00,519,23.766666666666666
12,Sleeping,2011-01-10 23:37:00,2011-01-11 07:33:00,476,23.616666666666667
13,Sleeping,2011-01-11 21:42:00,2011-01-12 05:52:00,490,21.7
14,Sleeping,2011-01-12 21:08:00,2011-01-13 05:34:00,506,21.133333333333333
15,Sleeping,2011-01-13 21:21:00,2011-01-14 05:16:00,475,21.35
16,Sleeping,2011-01-14 22:39:00,2011-01-15 06:56:00,497,22.65
17,Sleeping,2011-01-15 22:16:00,2011-01-16 06:34:00,498,22.266666666666666
18,Sleeping,2011-01-16 21:08:00,2011-01-17 06:15:00,547,21.133333333333333
19,Sleeping,2011-01-17 23:01:00,2011-01-18 06:55:00,474,23.016666666666666
20,Sleeping,2011-01-18 23:07:00,2011-01-19 06:56:00,469,23.116666666666667
21,Sleeping,2011-01-19 23:17:00,2011-01-20 07:36:00,499,23.283333333333335
22,Sleeping,2011-01-20 23:53:00,2011-01-21 07:23:00,450,23.883333333333333
23,Sleeping,2011-01-21 22:40:00,2011-01-22 06:25:00,465,22.666666666666668
24,Sleeping,2011-01-22 23:49:00,2011-01-23 08:18:00,509,23.816666666666666
25,Sleeping,2011-01-23 21:16:00,2011-01-24 05:28:00,492,21.266666666666666
26,Sleeping,2011-01-24 23:43:00,2011-01-25 08:03:00,500,23.716666666666665
27,Sleeping,2011-01-25 22:43:00,2011-01-26 06:54:00,491,22.716666666666665
28,Sleeping,2011-01-26 21:27:00,2011-01-27 05:28:00,481,21.45
29,Sleeping,2011-01-27 23:13:00,2011-01-28 07:32:00,499,23.216666666666665
30,Sleeping,2011-01-28 22:43:00,2011-01-29 07:01:00,498,22.716666666666665
31,Sleeping,2011-01-29 22:36:00,2011-01-30 07:43:00,547,22.6
32,Sleeping,2011-01-30 23:21:00,2011-01-31 07:38:00,497,23.35
33,Sleeping,2011-01-31 21:09:00,2011-02-01 05:07:00,478,21.15
34,Sleeping,2011-02-01 21:28:00,2011-02-02 05:37:00,489,21.466666666666665
35,Sleeping,2011-02-02 21:51:00,2011-02-03 05:45:00,474,21.85
36,Sleeping,2011-02-03 22:29:00,2011-02-04 06:29:00,480,22.483333333333334
37,Sleeping,2011-02-04 21:27:00,2011-02-05 04:57:00,450,21.45
38,Sleeping,2011-02-05 22:12:00,2011-02-06 06:22:00,490,22.2
39,Sleeping,2011-02-06 21:35:00,2011-02-07 06:02:00,507,21.583333333333332
40,Sleeping,2011-02-07 22:05:00,2011-02-08 05:37:00,452,22.083333333333332
41,Sleeping,2011-02-08 23:46:00,2011-02-09 07:39:00,473,23.766666666666666
42,Sleeping,2011-02-09 23:02:00,2011-02-10 06:44:00,462,23.033333333333335
43,Sleeping,2011-02-10 23:06:00,2011-02-11 07:10:00,484,23.1
44,Sleeping,2011-02-11 21:06:00,2011-02-12 04:54:00,468,21.1
